Country,EdLevel,YearsCodePro,Employment,Salary
United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3,"Employed, full-time",497532.0
Germany,Some college/university study without earning a degree,40,"Independent contractor, freelancer, or self-employed",159966.0
United Kingdom of Great Britain and Northern Ireland,"Associate degree (A.A., A.S., etc.)",10,"Employed, full-time",678456.0
Greece,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",2,"Employed, full-time",358320.0
United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3,"Employed, full-time",110000.0
United States of America,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",1,"Employed, full-time",70000.0
India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5,"Employed, full-time",58037.0
Portugal,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6,"Employed, full-time",44790396.0
Netherlands,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",7,"Employed, full-time;Independent contractor, freelancer, or self-employed",53322.0
France,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",4,"Employed, full-time",52789.0
United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",4,"Employed, full-time",100000.0
United States of America,"Associate degree (A.A., A.S., etc.)",10,"Employed, full-time",120000.0
United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8,"Employed, full-time",60307.0
United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9,"Employed, full-time",100000.0
Russian Federation,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Less than 1 year,"Employed, part-time",10392.0
United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Less than 1 year,"Employed, full-time",27641.0
United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5,"Employed, full-time",75000.0
Belgium,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",5,"Employed, full-time",63984.0
United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",15,"Employed, full-time",213587.0
France,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",15,"Employed, full-time",85315.0
Saudi Arabia,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11,"Employed, full-time",160008.0
United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",14,"Employed, full-time",147000.0
United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2,"Employed, full-time",172000.0
United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7,"Employed, full-time",59050.0
United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",14,"Employed, full-time",101000.0
United States of America,"Associate degree (A.A., A.S., etc.)",9,"Employed, full-time",120000.0
United States of America,"Associate degree (A.A., A.S., etc.)",19,"Employed, full-time",160000.0
United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4,"Employed, full-time",175000.0
Brazil,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3,"Employed, full-time",42440.0
Canada,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5,"Employed, full-time",136647.0
Netherlands,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",37,"Employed, full-time",62387.0
United States of America,Some college/university study without earning a degree,46,"Employed, full-time",100000.0
France,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",3,"Employed, full-time",58654.0
Canada,Something else,Less than 1 year,"Employed, full-time",46850.0
Germany,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20,"Employed, full-time",68252.0
Mexico,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Less than 1 year,"Employed, full-time",12500.0
Spain,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",3,"Employed, full-time",26128.0
United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5,"Employed, full-time",75000.0
United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",22,"Employed, full-time",250000.0
Netherlands,Some college/university study without earning a degree,12,"Employed, full-time",49056.0
Canada,Some college/university study without earning a degree,3,"Employed, full-time",75507.0
Poland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",2,"Employed, full-time",27756.0
Israel,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11,"Employed, full-time",197292.0
Sweden,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",6,"Employed, full-time",73140.0
United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3,"Employed, full-time",27641.0
Canada,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2,"Employed, full-time",43727.0
Israel,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",15,"Employed, full-time",190925.0
Czech Republic,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",7,"Employed, full-time",114324.0
Poland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10,"Employed, full-time",50875.0
Kenya,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3,"Employed, part-time",8244.0
United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7,"Employed, full-time",96742.0
Switzerland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20,"Employed, full-time",155129.0
United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",23,"Employed, full-time",140000.0
United Kingdom of Great Britain and Northern Ireland,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",25,"Employed, full-time;Independent contractor, freelancer, or self-employed",125639.0
Israel,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",6,"Employed, full-time",96852.0
United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2,"Employed, full-time",42089.0
Netherlands,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12,"Employed, full-time",93846.0
United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2,"Employed, full-time",67000.0
Brazil,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",15,"Employed, full-time",86304.0
United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18,"Employed, full-time",315000.0
Netherlands,Some college/university study without earning a degree,1,"Employed, full-time",213287.0
Italy,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",3,"Employed, full-time;Independent contractor, freelancer, or self-employed",35192.0
Austria,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",13,"Employed, full-time",66119.0
Germany,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",3,"Employed, full-time",71451.0
United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3,"Employed, full-time",150000.0
United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3,"Employed, full-time",83000.0
Sweden,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10,"Employed, full-time",71916.0
France,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",5,"Employed, full-time",34126.0
Canada,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",7,"Employed, full-time",70276.0
Canada,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",14,"Employed, full-time",140551.0
Poland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",4,"Employed, full-time",41628.0
United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8,"Employed, full-time",104000.0
United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",1,"Employed, full-time",155000.0
United Kingdom of Great Britain and Northern Ireland,Something else,7,"Employed, full-time",26384.0
United States of America,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",6,"Employed, full-time",4500000.0
United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10,"Employed, full-time",206000.0
United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5,"Employed, full-time",8000000.0
Spain,Some college/university study without earning a degree,15,"Employed, full-time",49056.0
United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3,"Employed, full-time",45000.0
United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2,"Employed, full-time",130000.0
United States of America,Some college/university study without earning a degree,10,"Employed, full-time",230000.0
United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12,"Employed, full-time",155000.0
Latvia,Primary/elementary school,5,"Employed, full-time",38392.0
United Kingdom of Great Britain and Northern Ireland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",19,"Employed, full-time",138203.0
Austria,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",24,"Employed, full-time",74651.0
United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4,"Employed, full-time",75384.0
Canada,Some college/university study without earning a degree,10,"Employed, full-time",74180.0
United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4,"Employed, full-time",130000.0
Israel,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",12,"Employed, full-time",194303.0
United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",24,"Employed, full-time",81666.0
United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",1,"Employed, full-time",80000.0
Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",15,"Employed, full-time",53322.0
France,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20,"Independent contractor, freelancer, or self-employed",44796.0
South Africa,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",21,"Employed, full-time",56897.0
United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4,"Employed, full-time",240000.0
Germany,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",1,"Employed, full-time",44790.0
United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Less than 1 year,"Employed, full-time",100000.0
United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7,"Employed, full-time",75000.0
Austria,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3,"Employed, full-time",43512.0
Netherlands,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4,"Employed, part-time",51192.0
Sweden,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10,"Employed, full-time",68256.0
United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",3,"Employed, full-time",120000.0
United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20,"Employed, full-time",160000.0
Thailand,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3,"Employed, full-time",45899.0
United States of America,"Other doctoral degree (Ph.D., Ed.D., etc.)",32,"Employed, full-time",175000.0
China,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5,"Employed, full-time",75684.0
United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11,"Employed, full-time",150000.0
Sweden,Some college/university study without earning a degree,7,"Employed, full-time",60948.0
United States of America,Some college/university study without earning a degree,14,"Employed, full-time",120000.0
United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20,"Employed, full-time",210000.0
United States of America,"Other doctoral degree (Ph.D., Ed.D., etc.)",40,"Employed, full-time",350000.0
United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4,"Employed, full-time",109000.0
United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4,"Employed, full-time",70000.0
United States of America,"Associate degree (A.A., A.S., etc.)",13,"Employed, full-time",150000.0
United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5,"Employed, full-time",100000.0
Brazil,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",19,"Employed, full-time",74784.0
Montenegro,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2,"Employed, full-time",13560.0
Italy,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",1,"Employed, full-time",14460.0
Germany,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",1,"Independent contractor, freelancer, or self-employed",153564.0
United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",15,"Employed, full-time",96000.0
United States of America,Some college/university study without earning a degree,2,"Employed, full-time",52800.0
United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10,"Employed, full-time",50256.0
United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",22,"Employed, full-time",160000.0
Finland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6,"Employed, full-time",42228.0
United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9,"Employed, full-time",124000.0
United Kingdom of Great Britain and Northern Ireland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",12,"Employed, full-time",125639.0
France,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",5,"Employed, full-time",44790.0
United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20,"Employed, full-time",205000.0
Slovakia,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",14,"Employed, full-time",53748.0
Netherlands,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6,"Employed, full-time",54384.0
United States of America,Some college/university study without earning a degree,4,"Employed, full-time",100000.0
Ireland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Less than 1 year,"Independent contractor, freelancer, or self-employed",69318.0
Germany,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",2,"Independent contractor, freelancer, or self-employed;Employed, part-time",21504.0
United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9,"Employed, full-time",55281.0
France,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",5,"Employed, full-time",52255.0
Israel,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4,"Employed, full-time",111204.0
United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7,"Employed, full-time",56538.0
United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",1,"Employed, full-time",76000.0
United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8,"Employed, full-time",115000.0
United States of America,"Associate degree (A.A., A.S., etc.)",8,"Employed, full-time",200000.0
Japan,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5,"Employed, full-time;Independent contractor, freelancer, or self-employed",252000.0
Denmark,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",2,"Employed, full-time",103248.0
Germany,"Associate degree (A.A., A.S., etc.)",3,"Employed, full-time",40956.0
United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12,"Employed, full-time",86000.0
United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5,"Employed, full-time",165000.0
United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9,"Independent contractor, freelancer, or self-employed",350000.0
Belgium,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",23,"Employed, full-time",92780.0
United States of America,Some college/university study without earning a degree,Less than 1 year,"Employed, full-time",160000.0
United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",5,"Employed, full-time",145000.0
United States of America,"Associate degree (A.A., A.S., etc.)",6,"Employed, full-time",80000.0
Spain,Some college/university study without earning a degree,6,"Employed, full-time",31993.0
United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3,"Employed, full-time",96300.0
United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",31,"Independent contractor, freelancer, or self-employed",62820.0
Germany,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",1,"Employed, full-time",57588.0
United States of America,Some college/university study without earning a degree,1,"Employed, full-time",55000.0
United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12,"Employed, full-time",126142.0
United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4,"Employed, full-time",158000.0
United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9,"Employed, full-time",350000.0
United States of America,"Other doctoral degree (Ph.D., Ed.D., etc.)",5,"Employed, full-time",90000.0
Spain,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10,"Employed, full-time",25594.0
Spain,Some college/university study without earning a degree,Less than 1 year,"Employed, full-time",21329.0
United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6,"Employed, full-time",150000.0
Germany,"Other doctoral degree (Ph.D., Ed.D., etc.)",25,"Employed, full-time;Independent contractor, freelancer, or self-employed",127972.0
United Kingdom of Great Britain and Northern Ireland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",4,"Employed, full-time",87948.0
Sweden,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",7,"Employed, full-time",92436.0
United States of America,Some college/university study without earning a degree,1,"Employed, full-time",75000.0
